starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	5
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	5
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	6
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	6
Sat Apr 06 00:47:27 2024	1712353647	2	6	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	8	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	8	6
Sat Apr 06 00:47:27 2024	1712353647	2	7	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	6
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	5	3	8	3
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	8	8
Sat Apr 06 00:47:27 2024	1712353647	2	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	8	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	5	4	9	3
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
