starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:54 2024	1712355714	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:55 2024	1712355715	2	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	22
Sat Apr 06 01:21:55 2024	1712355715	2	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	5	23	28	23
Sat Apr 06 01:21:54 2024	1712355714	3	25	28	23
Sat Apr 06 01:21:55 2024	1712355715	2	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	3	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	5	23	28	22
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:54 2024	1712355714	0	28	28	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	25
Sat Apr 06 01:21:55 2024	1712355715	2	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	0	28	28	27
Sat Apr 06 01:21:55 2024	1712355715	3	25	28	25
Sat Apr 06 01:21:54 2024	1712355714	1	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	3	25	28	24
Sat Apr 06 01:21:55 2024	1712355715	3	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	3	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	24
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	24
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:55 2024	1712355715	0	28	28	28
Sat Apr 06 01:21:54 2024	1712355714	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	0	28	28	28
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	24
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:54 2024	1712355714	0	28	28	26
Sat Apr 06 01:21:54 2024	1712355714	0	28	28	28
Sat Apr 06 01:21:54 2024	1712355714	2	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	1	27	28	27
Sat Apr 06 01:21:54 2024	1712355714	0	28	28	26
Sat Apr 06 01:21:55 2024	1712355715	3	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	26
Sat Apr 06 01:21:55 2024	1712355715	1	28	28	27
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	23
Sat Apr 06 01:21:55 2024	1712355715	3	26	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	28	28	28
Sat Apr 06 01:21:55 2024	1712355715	1	28	28	27
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	22
Sat Apr 06 01:21:55 2024	1712355715	4	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	1	28	28	27
Sat Apr 06 01:21:55 2024	1712355715	3	25	28	25
Sat Apr 06 01:21:55 2024	1712355715	5	24	28	23
Sat Apr 06 01:21:55 2024	1712355715	1	27	28	27
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	23
Sat Apr 06 01:21:55 2024	1712355715	4	24	28	24
Sat Apr 06 01:21:54 2024	1712355714	1	28	28	28
Sat Apr 06 01:21:55 2024	1712355715	1	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	26	29	25
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	29	26
Sat Apr 06 01:21:55 2024	1712355715	2	26	29	26
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	24
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	27	29	26
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	5	24	29	22
Sat Apr 06 01:21:54 2024	1712355714	1	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
